stop_name,stop_id,line_id,arrival_delay,arrival_time_hour,result
"Meadowbank Station, Platform 2",2114182.0,T1,80.0,9.0,0
"Meadowbank Station, Platform 2",2114182.0,T1,88.0,9.0,0
"Meadowbank Station, Platform 2",2114182.0,T1,0.0,10.0,0
"Meadowbank Station, Platform 2",2114182.0,T1,48.0,9.0,0
"Meadowbank Station, Platform 2",2114182.0,T1,348.0,10.0,0
"Meadowbank Station, Platform 2",2114182.0,T1,18.0,9.0,0
"Meadowbank Station, Platform 2",2114182.0,T1,431.0,10.0,1
"Meadowbank Station, Platform 2",2114182.0,T1,98.0,9.0,0
"Meadowbank Station, Platform 2",2114182.0,T1,281.0,10.0,0
"Meadowbank Station, Platform 2",2114182.0,T1,315.0,9.0,0
"Meadowbank Station, Platform 2",2114182.0,T1,343.0,10.0,0
"Meadowbank Station, Platform 2",2114182.0,T1,0.0,9.0,0
"Meadowbank Station, Platform 2",2114182.0,T1,261.0,10.0,0
"Meadowbank Station, Platform 2",2114182.0,T1,0.0,11.0,0
"Meadowbank Station, Platform 2",2114182.0,T1,267.0,10.0,0
"Meadowbank Station, Platform 2",2114182.0,T1,68.0,11.0,0
"Meadowbank Station, Platform 2",2114182.0,T1,279.0,10.0,0
"Meadowbank Station, Platform 2",2114182.0,T1,231.0,10.0,0
"Meadowbank Station, Platform 2",2114182.0,T1,8.0,11.0,0
"Meadowbank Station, Platform 2",2114182.0,T1,226.0,10.0,0
"Meadowbank Station, Platform 2",2114182.0,T1,21.0,11.0,0
"Meadowbank Station, Platform 2",2114182.0,T1,31.0,10.0,0
"Meadowbank Station, Platform 2",2114182.0,T1,67.0,11.0,0
"Meadowbank Station, Platform 2",2114182.0,T1,4.0,10.0,0
"Meadowbank Station, Platform 2",2114182.0,T1,59.0,11.0,0
"Meadowbank Station, Platform 2",2114182.0,T1,41.0,11.0,0
"Meadowbank Station, Platform 2",2114182.0,T1,42.0,11.0,0
"Meadowbank Station, Platform 2",2114182.0,T1,3.0,11.0,0
"Meadowbank Station, Platform 2",2114182.0,T1,0.0,11.0,0
"Meadowbank Station, Platform 2",2114182.0,T1,0.0,11.0,0
"Meadowbank Station, Platform 2",2114182.0,T1,0.0,9.0,0
"Meadowbank Station, Platform 2",2114182.0,T1,263.0,9.0,0
"Meadowbank Station, Platform 2",2114182.0,T1,316.0,9.0,0
